
1	﻿यौ	INJ
1	भाइ	NN
1	लोकनि	NN
1	,	SYM
1	हमर	PRP
1	हार्दिक	NN
1	इच्छा	NN
1	आ	CC
1	परमेश्वर	NNP
1	सँ	PSP
1	प्रार्थना	NN
1	अछि	VM
1	जे	PRP
1	इस्राएली	NNP
1	सभ	RP
1	उद्धार	NN
1	पबथि	VM
1	।	SYM

1	हम	PRP
1	हुनका	PRP
1	सभक	QF
1	सम्बन्ध	NN
1	,	SYM
1	मे	PSP
1	ई	PRP
1	गवाही	NN
1	दऽ	VM
1	सकैत	VAUX
1	छी	VAUX
1	जे	PRP
1	,	SYM
1	हुनका	PRP
1	सभ	QF
1	केँ	PSP
1	परमेश्वरक	NNP
1	प्रति	JJ
1	जोस	NN
1	छनि	VM
1	मुदा	CC
1	ई	PRP
1	जोस	NN
1	सत्यक	NN
1	ज्ञान	NN
1	पर	PSP
1	आधारित	NN
1	नहि	NEG
1	छनि	VM
1	।	SYM

1	कारण	NN
1	,	SYM
1	ओ	PRP
1	सभ	QF
1	धार्मिक	NN
1	ठहरबाक	VM
1	ओहि	DEM
1	माध्यम	PSP
1	पर	PSP
1	ध्यान	NN
1	नहि	NEG
1	देलनि	VM
1	जे	PRP
1	परमेश्वर	NNP
1	स्थापित	NN
1	कयलनि	VM
1	,	SYM
1	बल्कि	CC
1	अपन	PRP
1	माध्यम	PSP
1	स्थापित	NN
1	करबाक	VM
1	प्रयत्न	VAUX
1	कयलनि	VAUX
1	।	SYM

1	एहि	PRP
1	तरहेँ	PSP
1	ओ	PRP
1	सभ	QF
1	परमेश्वर	NNP
1	द्वारा	PSP
1	देल	VM
1	जाय	VAUX
1	बाला	PSP
1	धार्मिकताक	JJ
1	अधीन	NN
1	भेनाइ	VM
1	अस्वीकार	NN
1	कयलनि	VAUX
1	।	SYM

1	मसीह	NNP
1	धार्मिकता	JJ
1	प्राप्त	NN
1	करबाक	VM
1	ओहि	DEM
1	माध्यम	PSP
1	केँ	DEM
1	अन्त	NN
1	करैत	VM
1	छथि	VAUX
1	जे	NN
1	धर्म	NN
1	-	SYM
1	नियम	NN
1	पर	PSP
1	निर्भर	NN
1	रहैत	VM
1	अछि	VAUX
1	,	SYM
1	जाहि	PRP
1	सँ	PSP
1	जे	PRP
1	केओ	PRP
1	विश्वास	NN
1	करैत	VM
1	अछि	VAUX
1	से	PSP
1	धार्मिक	NN
1	ठहराओल	VM
1	जाय	VAUX
1	।	SYM

1	मूसा	NNP
1	धर्म	NN
1	-	SYM
1	नियम	NN
1	पर	PSP
1	आधारित	NN
1	धार्मिकताक	JJ
1	विषय	NN
1	मे	PSP
1	ई	PRP
1	लिखने	VM
1	छथि	VAUX
1	जे	PRP
1	,	SYM
1	जे	PRP
1	व्यक्ति	NN
1	धर्म	NN
1	-	SYM
1	नियमक	NN
1	पालन	NN
1	करैत	VM
1	अछि	VAUX
1	से	PSP
1	ओहि	DEM
1	द्वारा	PSP
1	जीवन	NN
1	पाओत	VM
1	।	SYM

1	मुदा	CC
1	जे	PRP
1	धार्मिकता	JJ
1	विश्वास	NN
1	पर	PSP
1	आधारित	VM
1	अछि	VAUX
1	,	SYM
1	ताहि	PRP
1	सम्बन्ध	NN
1	मे	PSP
1	ई	PRP
1	लिखल	VM
1	अछि	VAUX
1	,	SYM
1	अपना	PRP
1	मोन	NN
1	मे	PSP
1	ई	PRP
1	नहि	NEG
1	कहू	VM
1	जे	PRP
1	,	SYM
1	स्वर्ग	NN
1	पर	PSP
1	के	PSP
1	चढ़त	VM
1	?	SYM

1	अर्थात्	CC
1	,	SYM
1	मसीह	NNP
1	केँ	PSP
1	लयबाक	VM
1	लेल	PSP
1	।	SYM

1	वा	CC
1	पाताल	NN
1	मे	PSP
1	केँ	WQ
1	उतरत	VM
1	?	SYM

1	अर्थात्	NN
1	मुइल	VM
1	सभ	QF
1	मे	PSP
1	सँ	PSP
1	मसीह	NN
1	केँ	PSP
1	जिआ	VM
1	कऽ	VAUX
1	ऊपर	NST
1	अनबाक	VM
1	लेल	PSP
1	।	SYM

1	विश्वास	NN
1	पर	PSP
1	आधारित	NN
1	धार्मिकताक	JJ
1	सम्बन्ध	NN
1	?	SYM

1	मे	PSP
1	यैह	PRP
1	लिखल	VM
1	अछि	VAUX
1	जे	PRP
1	,	SYM
1	वचन	NN
1	अहाँ	PRP
1	सभक	RP
1	लग	NST
1	मे	PSP
1	अछि	VM
1	,	SYM
1	ओ	PRP
1	अहाँक	PRP
1	मुँह	NN
1	मे	PSP
1	आ	CC
1	अहाँक	PRP
1	हृदय	NN
1	मे	PSP
1	अछि	VM
1	,	SYM
1	अर्थात्	CC
1	ई	PRP
1	विश्वासक	NN
1	वचन	NN
1	,	SYM
1	जकर	PRP
1	हम	PRP
1	सभ	QF
1	प्रचार	NN
1	करैत	VM
1	छी	VAUX
1	जे	PRP
1	,	SYM
1	जँ	RB
1	अहाँ	PRP
1	अपना	PRP
1	मुँह	NN
1	सँ	PSP
1	खुलि	VM
1	कऽ	VAUX
1	स्वीकार	NN
1	करी	VM
1	जे	PRP
1	,	SYM
1	यीशु	NNP
1	प्रभु	NN
1	छथि	VM
1	,	SYM
1	आ	CC
1	हृदय	NN
1	सँ	PSP
1	विश्वास	NN
1	करी	VM
1	जे	PRP
1	,	SYM
1	परमेश्वर	NNP
1	हुनका	PRP
1	मुइल	VM
1	सभ	QF
1	मे	PSP
1	सँ	PSP
1	जिऔलथिन	VM
1	तँ	RB
1	अहाँ	PRP
1	उद्धार	NN
1	पायब	VM
1	।	SYM

1	किएक	WQ
1	तँ	RB
1	हृदय	NN
1	सँ	PSP
1	विश्वास	NN
1	कऽ	VM
1	मनुष्य	NN
1	धार्मिक	NN
1	ठहरैत	VM
1	अछि	VAUX
1	,	SYM
1	मुँह	NN
1	सँ	PSP
1	स्वीकार	NN
1	कऽ	VM
1	उद्धार	NN
1	पबैत	VM
1	अछि	VAUX
1	।	SYM

1	धर्मशास्त्र	NN
1	सेहो	RP
1	कहैत	VM
1	अछि	VAUX
1	जे	PRP
1	,	SYM
1	जे	PRP
1	केओ	PRP
1	हुनका	PRP
1	पर	PSP
1	भरोसा	NN
1	राखत	VM
1	,	SYM
1	तकरा	PRP
1	कहियो	NST
1	लज्जित	NN
1	नहि	NEG
1	होमऽ	VM
1	पड़तैक	VAUX
1	।	SYM

1	यहूदी	NNP
1	आ	CC
1	आन	JJ
1	जाति	NN
1	मे	PSP
1	कोनो	PRP
1	भेद	NN
1	नहि	NEG
1	अछि	VM
1	-	SYM
1	एक	QC
1	प्रभु	NN
1	सभक	RP
1	प्रभु	NN
1	छथि	VM
1	,	SYM
1	आ	CC
1	जे	PRP
1	सभ	QF
1	हुनका	PRP
1	सँ	PSP
1	प्रार्थना	NN
1	करैत	VM
1	अछि	VAUX
1	,	SYM
1	ताहि	RB
1	सभ	QF
1	लोक	NN
1	पर	PSP
1	ओ	PRP
1	खुशीपूर्बक	NN
1	अपन	PRP
1	आशिष	NN
1	बरसबैत	VM
1	छथि	VAUX
1	।	SYM

1	कारण	NN
1	,	SYM
1	लिखल	VM
1	अछि	VAUX
1	,	SYM
1	जे	PRP
1	केओ	PRP
1	प्रभु	NN
1	सँ	PSP
1	विनती	NN
1	करत	VM
1	तकर	PRP
1	उद्धार	NN
1	होयतैक	VM
1	।	SYM

1	मुदा	CC
1	लोक	NN
1	तिनका	PRP
1	सँ	PSP
1	विनती	NN
1	कोना	WQ
1	करत	VM
1	जिनका	PRP
1	पर	PSP
1	विश्वास	NN
1	नहि	NEG
1	कयने	VM
1	अछि	VAUX
1	?	SYM

1	आ	CC
1	तिनका	PRP
1	पर	PSP
1	विश्वास	NN
1	कोना	WQ
1	करत	VM
1	जिनका	PRP
1	विषय	NN
1	मे	PSP
1	सुनने	VM
1	नहि	NEG
1	अछि	VM
1	?	SYM

